NAME_1,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Occidental Mindoro,40,33,53,17,47,17,47,74,48,46,47,41,38,36,27,34,56,53,51,50,39,68,73,88,77,62,77,105,80,82,63,83,23
Oriental Mindoro,94,108,112,92,98,184,129,91,115,71,99,86,140,137,128,154,160,195,158,220,220,275,369,382,416,364,303,395,342,410,298,254,61
Palawan,21,24,32,33,35,41,45,18,55,37,47,42,38,50,57,64,81,65,118,75,82,110,124,132,123,144,125,136,172,123,162,172,43
Pampanga,4481,4304,4435,4233,3697,3838,3760,3320,3593,3310,2285,2301,2665,2673,3132,2854,3243,3510,3854,4315,3568,4431,4752,4461,4619,4368,4636,4986,4997,4325,3942,3545,855
Pangasinan,2769,2581,3129,3080,3135,3378,3646,3160,3366,2898,2151,2184,2565,2455,2733,2727,3214,3234,3631,3790,3303,3963,4491,3985,3922,3663,3685,4690,4060,4003,3847,3083,686
Quezon,475,472,487,579,573,542,664,476,516,464,338,366,392,456,502,396,545,635,688,669,658,821,836,879,889,881,852,1030,984,930,748,724,160
Quirino,3,8,15,8,33,12,22,27,37,26,20,32,21,40,36,14,19,40,44,45,57,47,59,47,43,62,90,141,152,117,98,88,18
Rizal,1273,1278,1568,1463,1530,1701,1731,1550,1905,1632,1251,1225,1699,1915,1969,1983,2381,2705,3162,2964,2805,3107,3428,3216,3033,3102,3064,3446,3431,3101,2774,2358,571
Romblon,29,28,34,17,24,37,27,31,38,41,15,11,50,28,38,22,23,32,34,41,44,51,39,42,40,34,31,44,70,39,54,58,8
Samar,64,68,65,64,110,98,73,68,60,90,63,74,67,69,86,65,75,85,95,135,124,139,161,171,151,180,169,153,156,180,153,140,28
Sarangani,2,9,5,31,20,15,7,7,30,21,12,15,30,17,47,63,78,54,48,95,80,47,41,67,54,42,62,75,73,54,75,69,9
Siquijor,54,54,98,52,52,72,71,70,50,63,39,40,57,78,65,66,70,60,68,64,60,68,63,78,64,55,69,71,70,58,91,65,12
Sorsogon,74,68,97,59,95,75,81,83,93,93,65,67,67,71,106,102,81,100,127,111,133,140,138,153,149,180,166,145,204,164,151,177,31
South Cotabato,63,81,101,78,138,143,157,152,188,154,144,141,195,214,231,255,270,357,524,536,463,500,528,487,493,595,574,729,785,699,632,592,138
Southern Leyte,55,50,74,56,56,99,62,80,40,79,74,46,64,69,86,111,101,97,126,156,135,166,142,135,137,132,165,207,241,177,199,183,38
Sultan Kudarat,7,32,11,15,24,27,20,19,19,20,30,22,32,35,36,28,56,52,55,62,69,96,61,62,68,84,95,118,167,82,99,103,20
Sulu,2,2,2,4,1,2,0,2,3,0,1,0,2,1,0,2,0,0,0,0,1,2,1,2,6,0,2,0,0,2,1,0,0
Surigao del Norte,22,48,41,58,68,71,78,62,67,74,53,69,61,47,97,83,129,134,169,132,119,136,184,170,183,147,168,183,199,195,120,157,31
Surigao del Sur,41,22,23,35,29,41,44,41,57,36,40,44,63,50,64,72,95,110,128,140,146,150,132,137,149,144,154,159,185,149,145,148,32
Tarlac,982,938,1093,1032,1098,1128,1246,1062,1227,1020,691,743,900,937,1016,969,1203,1192,1294,1389,1283,1647,1927,1763,1662,1600,1641,1943,1865,1613,1484,1254,283
Tawi-tawi,0,1,0,0,1,3,4,0,0,0,0,0,0,1,5,0,0,0,0,0,13,2,2,0,2,3,0,0,0,0,0,0,0
Zambales,4088,3344,3469,3288,4485,2612,2099,2061,2146,1677,1141,1134,1446,1323,1434,1187,1487,1472,1749,1840,1434,1658,1856,1567,1495,1543,1543,1691,1527,1377,1471,1212,323
Zamboanga del Norte,62,43,88,89,128,154,120,131,170,147,99,125,152,153,181,154,172,176,255,278,263,298,262,324,370,320,302,358,364,335,365,272,63
Zamboanga del Sur,129,137,149,164,172,213,282,128,183,197,132,170,213,212,334,334,385,394,710,477,379,431,364,501,502,440,444,557,523,416,447,442,120
Zamboanga Sibugay,13,2,6,5,12,15,19,8,23,19,13,12,9,12,14,18,18,37,45,36,34,47,39,48,81,45,69,68,74,78,59,58,13
Metropolitan Manila,25370,24543,27170,27075,26539,28013,26343,22788,23411,20369,14358,14548,18173,18338,19313,18047,20578,22485,25861,24744,21053,22063,22370,20968,20931,19277,19463,21236,20655,17613,16064,14081,3416
Basilan,13,3,12,4,12,12,5,3,18,16,7,12,7,8,14,7,12,25,22,27,10,15,19,4,11,12,9,5,10,9,9,25,5
Maguindanao,13,3,12,4,12,12,5,3,18,16,7,12,7,8,14,7,12,25,22,27,10,15,19,4,11,12,9,5,10,9,9,25,5
